Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
اديه الساعة؟,هياها الساعة معك ليش ما بتشوفا؟,الساعة كام؟,اهي الساعة معاك مابتشوفهاش ليه؟
تروح عالمظاهرة؟,لا انا مش تبع هالشغلات,تروح المظاهرة؟,لا انا مش متابع الحاجات ديه
شو الغدا اليوم؟ جوعان كتير,سندويشات فلافل و شاورما,حنتغدا ايه انهردا؟ جعان جدا,سندوتشات فلافل او شاورما
لازم تصير تضهر تشوف عالم,ما الي نفس شوف حدا,لازم تبقى تخرج تشوف العالم,ماليش نفس اشوف حد
الليلة حضرتك معزوم عسهرة,ماشي حجرب اجي بس ما فيني اوعدك,انهردة حضرتك معزوم على السهرة,ماشي حجرب اجي بس ماوعدكش
اوم روح غير هالتياب خلينا نضهر نغيّر جوّ شوي,لوين بدنا نروح؟ عبالي اطلع عالجبل,اوم روح غير الهدوم ديه خلينا نخرج نغير شوية جو,عايز تروح فين؟ جي على بالي اطلع عالجبل
فيي افهم شو جابك لهون؟,وانت شو خصّك؟ بجي محل ما بدي,ممكن افهم ايه الي جايبك هنا؟,وانت مالك؟ باجي في مكان مانا عايز
ايمتى بدك تدفع الحساب؟,السبت بالليل وعد خلص,امتى حتدفع الحساب,السبت بالليل وعد خلاص
أنا تلميذ بالجامعة و أنت ؟,أنا بشتغل بالبنك من شي سنتين,انا طالب في الجامعة و أنت؟,انا بشتغل في البنك من حوالي سنتين
حلوة هالحفلة كتير,ايه عنجد كتير حلوة عجبتني,حلوة الحفلة جدا,اه بجد حلوة جدا عجبتني
ينعاد عليك عقبال المية يا رب,شكرا كلك زوق يا حلو,كل سنة و انت طيب عقبال المية يا رب,شكرا كلك زوق
في عطلة بعد يومين شو مقرر تعمل ؟,بعد مل قررت ما في شي معيين ببالي,في اجازة بعد يومين ايه المقرر يتعمل؟,بعد ما قررت مافيش حاجة معينة في بالي
يا زلمي شو شوب اليوم,معك حق فطست كتير,يا راجل قد ايه حر انهردة,معاك حق فطست جامد
عندمك وقت الليلة ؟ في ماتش فوتبول قوي,مين ضد مين ؟ اكيد عندي وقت,عندك وقت انهردة؟ في ماتش كورة قوي,مين ضد مين ؟ اكيد عندي وقت
ما كنت متخيل شوفك بهالوقت قلت بتكون نايم,اي نوم يا زلمي عم حضر بحث لمؤتمر بعد يومين التسليم,ماكنتش متخيل اشوفك في الوقت ده قلت حتكون نايم,انهي نوم يا راجل بحضر لبحث مؤتمر بعد يومين التسليم
ليه هيك شكلك شو صاير معك ؟,الي من الصبح عم بشتغل كتير تعبت,ليه شكلك كده الي حاصل معاك؟,ليا من الصبح بشتغل تعبت جدا
و اخيرا خلص الفصل و صار فيني ارتاح,مبروك يعطيك العافية كيف عملت بالإمتحانات ؟,و اخيرا خلص الفصل وبقا ممكن ارتاح,مبروك يرزقك العافية عملت ايه افي الأمتحانات ؟
فيي استعير منك قلم لو سمحت ؟,لأ ما فيك مل بحب عير غراضي لحدا,ممكن استلف منك قلم لو سمحت؟,لأ ماينفعش ما بحبش ادي حاجتي لحد
عندي سؤال كتير قوي لإلك,يا لطيف شو هوي هالسؤال ؟,عندي سؤال قوي جدا ليك,يا لطيف ايه هوا السؤال
كتير معصب أنا اليوم,شو في شو صاير معك ؟,معصب جدا انا انهردة,ايه في ايه الي حاصل معاك
شو عم تحضر مسلسلات ؟,ما عم بحضر شي والله ما معي كتير وقت,بتتفرج على مسلسلات ايه ؟,مش بتفرج على حاجة ولله مامعيش وقت خالص
شو أكتر فلم بتحبو ؟,في فلم نسيت شو اسمو عن واحد بيعلق على جزيرة بنص البحر,ايه اكتر فيلم بتحبه ؟,في فيلم نسيت ايه اسمه عن واحد بيتحبس لوحده في جزيرة
بتحب اللغة العربية ؟,طبعا هيدي لغتي الأم مش بس بحبها بعشقا,بتحب اللغة العربية ؟,طبعا ديه لغتي الأم مش بس بحبها بعشقها
صرت خاف عيش بهالبلد من بعد انفجار المرفأ,معق حق شي بخوف فعلا و الله لا يعيد هيك نهار,بقيت اخاف اعيش في البلد ديه من بعد انفجار المينا,معاك حق حاجة تخوف فعلا والله ميعدش يوم ذي ده
الي ثلاث ساعات بكتب بالتقرير قرفت,تقرير شو ؟ ايمتا لازم تسلمو ؟,ليا تلات ساعات بكتب تقرير قرفت,تقرير ايه ؟ امتى لازم نسلمه؟
شو صار للكومبيوتر تبعك ؟,مكسور ما عم يمشي صرلو من مبارح,ايه الي حاصل في الكمبيوتر بتاعك ؟,مكسور مش شغال من امبارح
شو رأيك بالبرنامج الجديد عالتلفزيون ؟,ما حبيتو بالمرة كلو طق حنك بلا عازي,ايه رأيك في البرنامج الجديد الي على التلفزيون ؟,ما حبيتهوش خالص كله كلام على الفاضي
عجبتني كتير بلوزتك الجديدة!,شكرا شو رأيك فيها لابقتلي ؟,عجبتني جدا قميصك الجديد!,شكرا ايه رأيك فيها لايقة عليا ؟
هيدا الباص بوديني على البلد ؟,لأ هيدا بياخدك على الجبل ما تطلع في,ده الباص الي هيوديني على البيت ؟,لأ ده بياخدك على الجبل ما تطلعش عليه
بتحب تشرب شاي او قهوة ؟,أكيد شاي القهوة ما بحبا بالمرة بحسا مقرفة,تحب تشرب شاي ولا قهوة ؟,أكيد شاي القهوة ما بحبهاش خالص بحسها مقرفة
شو ليه ما نضفت الأوضة ؟,ما ايلي خلق هلق بعدين بنضفا,ايه ليه مانضفتش الأوضة ؟,ماليش خلق دلوقتي حنضفها بعدين
هالبلدة كلها مشاكل ما بتخلص,ليه من شو ؟ و ليش ما بتنقل على محل تاني ؟,البلد ديه كلها مشاكل ما بتخلصش,ليه من ايه ؟ و ليه ماتنقلش على مكان تاني ؟
بتحبني عنجد او عم تمزح معي ؟,ايه بحبك و كتير ما فيني عيش من دونك,بتحبيني بجد ولا بتهزري ؟,اه بحبك جدا و مقدرش اعيش من غيرك
راح عليك فيلم كتير حلو! قلتلك تعا بس ما بترد,عنجد ؟ شو الحلو في يعني ؟ لو قادر اجي كنت جيت,راح عليك الفيلم ده حلو جدا! قلتلك تعالى بس ما بتردش,بجد ؟ ايه الحلو فيه يعني ؟ لو قادر اجي كنت جيت
بدي سجل بالجامعة بس ما عارف اي اختصاص شو رأيك ؟,إذا بدك نصيحتي فوت هندسة كومبيوتر كتير مهمة هالأيام,عايز اسجل في الجامعة بس مش عارف انهي اختصاص ايه رأيك ؟,لو عايز نصحتي خش هندسة كمبوتر مهمة جدا اليومين دول
انبسطت كتير لأنكجيت على عيدي عنجد شكرا,أكيد ولو معقول مل نجي على عيدو للحلو ؟,اتبسطت جدا انك جيت على عيد ميلادي شكرا,أكيد عيب معقول ما نجيش على عيد ميلاد الحلو ؟
برأيك مهم اخد صف عن علم الأحياء ؟,طبعا مهم بتتعلم أكتر عن الإنسان و من شو مكون,في رأيك مهم ناخد صف من علم الأحياء ؟,طبعا مهم بتتعلم أكتر عن الإنسان و من ايه مكون
شو رحت على موعد غرامي مبارح بالليل ؟,شو عرفك يا زلمي ما قلت لحدا أنا,ايه رحت على موعد غرامي امبارح بليل ؟,ايه الي عرفك يا جدع انا ما قلتش لحد
جبتلك هدية انشالله تعجبك,ليه عزبا حالك يا عيب الشوم اكير لح تعجبني,جبتلك هدية انشاءالله تعجبك,ليه تاعب نفسك عيب عليك اكيد حتعجبني
عندك فكرة ايمتا ببلش العيد ؟,المفروض بعد كم يوم مش مطول كتير,عندك فكرة امتى يبدا العيد ؟,المفروض كمان كام يوم مش مطول
شكلو عملو لقاح فعال لفيروس كورونا,بس ما تتكل عليه خليك عم تحط كمامة,شكلو عملو لقاح فعال لفيروس كورونا,بس ما تعتمدش عليه خليك بتحط الكمامة
كتير بحب احضر سبق السيارات,ليش ما قايللي من قبل ؟ كنا حضرناهن سوا,بحب اتفرج على سباق العربيات,ليه ما قلتليش قبل كدة؟ كنا اتفرجنا عليهم سوا
اكلت بيتزا او لأ ؟ جلبوهوم من شوي,لأ لما وصلت كان الشعب اكل البيتزا كلها و ما خلا شي,اكلت بيتزا ولا لأ ؟ جابولهوم من شويا,لأ لما وصلت كان الشعب اكل البيتزا كلها و ما خلاش حاجة
مرحبا استاذ. بدي اعتزر منك و الغي موعدنا اليوم,ليش شو في ؟ بسيطة فينا نجتمع نهار تاني,اهلا يا استاذ. عايز اعتذر منك والغي معادنا انهردة,ليه في ايه؟ بسيطة ممكن نجتمع يوم تاني
عم بقرا الجريدة اليوم عم يغلا البنزين,أنا مبارح فولت السيارتين سمعت بدو ينقطع البنزين,بقرا الجريدة انهردة البنزين بيغلا,أنا امبارح فولت عربيتين سمعت عايز يقطع البنزين
قالولي فتحت شركة جديدة مبروك!,صحيح فتحت شركة بتصنع الكترونيات,قالولي فتحت شركة جديدة مبروك!,صحيح فتحت شركة تصحيح الكترونيات
بتمنى يخسر الفريق اليوم,ليش يخسرو ؟ لازم يربحو اليوم ضروري,بتمنى يخسر الفريق انهردة,ليه يخسرو ؟ لازم يكسبوا انهردة ضروري
لح يتجوزوا رفقاتي اليوم كتير مبسوط!,مين هول رفقاتك ما مخبرني عنون,حيتجوزوا صحابي انهردة مبصوط جدا!,مين صحابك دول ماقلتليش عنهم
